unit,units
Hungarian forint,Hungarian forint
Hz,Hz
Icelandic króna,Icelandic króna
IDR,IDR
ILS,ILS
in ,in 
in2,in2
in3,in3
Indian rupee,Indian rupee
Indian rupees,Indian rupees
Indonesian rupiah,Indonesian rupiah
INR,INR
IQD,IQD
Iraimbilanja,Iraimbilanja
Iranian rial,Iranian rial
Iraqi dinar,Iraqi dinar
IRR,IRR
ISK,ISK
Israeli new shekel,Israeli new shekel
J,J
Jamaican dollar,Jamaican dollar
Jamaican dollars,Jamaican dollars
Japanese yen,Japanese yen
Jeon,Jeon
Jersey pound,Jersey pound
Jersey pounds,Jersey pounds
Jiao,Jiao
JMD,JMD
JOD,JOD
Jordanian dinar,Jordanian dinar
Joule,Joule
JPY,JPY
K,K
Kazakhstani tenge,Kazakhstani tenge
KB,KB
kcal / cal,kcal / cal
Kelvin,Kelvin
Kenyan shilling,Kenyan shilling
KES,KES
kg,kg
kg m/s,kg m/s
kg/m3,kg/m3
KGS,KGS
Khoums,Khoums
KHR,KHR
kilo,kilo
Kilobyte,Kilobyte
Kilobytes,Kilobytes
Kilogram,Kilogram
Kilogram meters per second,Kilogram meters per second
Kilograms,Kilograms
Kilometer,Kilometer
Kilometers,Kilometers
Kilopond,Kilopond
Kiloponds,Kiloponds
kilos,kilos
Kilowatt,Kilowatt
Kilowatts,Kilowatts
Kiribati dollar,Kiribati dollar
Kiribati dollars,Kiribati dollars
km,km
KMF,KMF
Kobo,Kobo
Kopeck,Kopeck
kp,kp
kph,kph
KPW,KPW
KRW,KRW
Kuru,Kuru
Kuwaiti dinar,Kuwaiti dinar
kw,kw
KWD,KWD
KYD,KYD
Kyrgyz som,Kyrgyz som
KZT,KZT
Laari,Laari
LAK,LAK
Lao kip,Lao kip
lb,lb
lbf/in2,lbf/in2
LBP,LBP
Lebanese pound,Lebanese pound
Lebanese pounds,Lebanese pounds
Lesotho loti,Lesotho loti
Liberian dollar,Liberian dollar
Liberian dollars,Liberian dollars
Libyan dinar,Libyan dinar
Light Year,Light Year
Light Years,Light Years
lightyear,lightyear
lightyears,lightyears
Lipa,Lipa
Lipas,Lipas
Liter,Liter
Liters,Liters
lj,lj
LKR,LKR
lm,lm
LRD,LRD
ls,ls
LSL,LSL
Lug,Lug
Luma,Luma
Lumas,Lumas
Lumen,Lumen
Lumen Seconds,Lumen Seconds
Lumens,Lumens
Lux,Lux
lx,lx
LYD,LYD
m ,m 
m/s ,m/s 
m/s2,m/s2
m2,m2
m3,m3
Macanese pataca,Macanese pataca
Macedonian denar,Macedonian denar
MAD,MAD
Malagasy ariary,Malagasy ariary
Malawian kwacha,Malawian kwacha
Malaysian ringgit,Malaysian ringgit
Maldivian rufiyaa,Maldivian rufiyaa
Manx pound,Manx pound
Manx pounds,Manx pounds
Mauritanian ouguiya,Mauritanian ouguiya
Mauritian rupee,Mauritian rupee
Mauritian rupees,Mauritian rupees
MB,MB
MBs,MBs
MDL,MDL
Megabyte,Megabyte
Megabytes,Megabytes
Meter,Meter
Meters,Meters
Metre,Metre
Metres,Metres
Mexican peso,Mexican peso
Mexican pesos,Mexican pesos
MGA,MGA
mi ,mi 
mi2,mi2
Miles per hour,Miles per hour
Milliliter,Milliliter
Milliliters,Milliliters
Millime,Millime
Millimes,Millimes
Millimeter,Millimeter
Millimeters,Millimeters
min,min
mins,mins
Minute,Minute
Minutes,Minutes
MKD,MKD
ml,ml
mm,mm
MMK,MMK
MNT,MNT
mol,mol
Moldovan leu,Moldovan leu
Mole,Mole
Moles,Moles
Mommes,Mommes
Möngö,Möngö
Mongolian tögrög,Mongolian tögrög
month,month
months,months
MOP,MOP
Moroccan dirham,Moroccan dirham
Mozambican metical,Mozambican metical
mph,mph
MRU,MRU
MUR,MUR
MVR,MVR
MWK,MWK
MXN,MXN
MYR,MYR
MZN,MZN
N,N
NAD,NAD
Namibian dollar,Namibian dollar
Namibian dollars,Namibian dollars
Nautical Mile,Nautical Mile
Nautical Miles,Nautical Miles
Nepalese rupee,Nepalese rupee
Nepalese rupees,Nepalese rupees
Netherlands Antillean guilder,Netherlands Antillean guilder
New Taiwan dollar,New Taiwan dollar
New Taiwan dollars,New Taiwan dollars
New Zealand dollar,New Zealand dollar
New Zealand dollars,New Zealand dollars
Newton,Newton
Newton meter,Newton meter
Newton meters,Newton meters
Newtons,Newtons
NGN,NGN
Ngwee,Ngwee
Nicaraguan córdoba,Nicaraguan córdoba
Nigerian naira,Nigerian naira
NIO,NIO
Niue dollar,Niue dollar
Niue dollars,Niue dollars
NOK,NOK
North Korean won,North Korean won
Norwegian krone,Norwegian krone
NPR,NPR
NZD,NZD
Ohm,Ohm
Omani rial,Omani rial
OMR,OMR
Öre,Öre
Øre,Øre
Ounce,Ounce
Ounces,Ounces
Oyra,Oyra
oz,oz
oz. fl,oz. fl
PAB,PAB
Paisa,Paisa
Pakistani rupee,Pakistani rupee
Pakistani rupees,Pakistani rupees
Panamanian balboa,Panamanian balboa
Paper Bale,Paper Bale
Papua New Guinean kina,Papua New Guinean kina
Para,Para
Paraguayan guaraní,Paraguayan guaraní
Parsec,Parsec
Parsecs,Parsecs
Pascal,Pascal
Pascals,Pascals
PB,PB
pc,pc
PEN,PEN
pennies,pennies
Penny,Penny
Perch ,Perch 
Peruvian sol,Peruvian sol
Pesewa,Pesewa
Petabyte,Petabyte
Petabytes,Petabytes
PGK,PGK
Philippine peso,Philippine peso
Philippine pesos,Philippine pesos
PHP,PHP
Piaster,Piaster
Piastre,Piastre
Pitcairn Islands dollar,Pitcairn Islands dollar
Pitcairn Islands dollars,Pitcairn Islands dollars
PKR,PKR
PLN,PLN
Poisha,Poisha
Pond,Pond
Pound,Pound
Pounds,Pounds
psi ,psi 
pt ,pt 
Pul,Pul
Pya,Pya
PYG,PYG
QAR,QAR
Qatari riyal,Qatari riyal
Qintar,Qintar
qt,qt
qts,qts
Quart,Quart
Quarts,Quarts
rad ,rad 
Rappen,Rappen
ream,ream
Renminbi,Renminbi
Rial,Rial
Rod,Rod
Romanian leu,Romanian leu
RON,RON
RSD,RSD
RTGS dollar,RTGS dollar
RTGS dollars,RTGS dollars
RUB,RUB
Russian rouble,Russian rouble
Rwandan franc,Rwandan franc
Rwandan francs,Rwandan francs
RWF,RWF
Sahrawi peseta,Sahrawi peseta
Saint Helena pound,Saint Helena pound
Saint Helena pounds,Saint Helena pounds
Santeem,Santeem
Santim,Santim
SAR,SAR
Satang,Satang
Satoshi,Satoshi
Saudi riyal,Saudi riyal
SBD,SBD
